568,42,43,52,0.532986,9,-1,-1
882,125,111,57,0.489085,9,-1,-1
1105,64,99,48,0.234459,9,-1,-1
1107,71,99,45,0.334521,6,-1,-1
570,39,40,51,0.650067,6,-1,-1
471,66,44,59,0.105236,9,-1,-1
484,36,23,28,0.429443,6,-1,-1
594,17,50,74,0.363228,6,-1,-1
620,55,26,37,0.348610,6,-1,-1
222,199,77,26,0.319327,6,-1,-1
552,11,26,30,0.289514,6,-1,-1
604,41,40,38,0.229182,6,-1,-1
572,0,38,35,0.149364,6,-1,-1
476,70,32,46,0.141200,6,-1,-1
473,11,24,27,0.140105,6,-1,-1
485,41,21,21,0.668743,4,-1,-1
475,14,20,20,0.415713,5,-1,-1
521,149,35,38,0.424560,4,-1,-1
127,220,46,22,0.373376,5,-1,-1
518,71,25,27,0.651817,4,-1,-1
129,218,49,22,0.569411,4,-1,-1
585,250,39,40,0.144455,5,-1,-1
589,250,38,41,0.560895,4,-1,-1
801,131,41,23,0.974078,4,-1,-1
693,377,44,45,0.954989,4,-1,-1
769,199,43,33,0.950940,4,-1,-1
967,106,40,22,0.945163,4,-1,-1
779,519,49,66,0.931512,4,-1,-1
578,293,39,35,0.928518,4,-1,-1
561,138,25,29,0.926492,4,-1,-1
606,229,36,34,0.923512,4,-1,-1
819,140,36,24,0.912184,4,-1,-1
672,498,45,62,0.903216,4,-1,-1
918,117,40,21,0.877216,4,-1,-1
859,128,37,21,0.765171,4,-1,-1
9,244,44,23,0.743394,4,-1,-1
1,246,14,24,0.690395,4,-1,-1
220,202,42,22,0.488053,4,-1,-1
645,64,19,21,0.484125,4,-1,-1
842,151,37,27,0.477932,4,-1,-1
990,112,40,23,0.465850,4,-1,-1
847,145,38,24,0.180506,4,-1,-1
555,16,20,21,0.163863,4,-1,-1
14,160,27,13,0.143263,4,-1,-1
370,151,44,32,0.128059,4,-1,-1
761,263,21,43,0.119212,4,-1,-1
630,60,34,29,0.118253,4,-1,-1
614,18,17,18,0.106570,4,-1,-1
590,16,18,19,0.103381,4,-1,-1
863,247,7,19,0.664219,1,-1,-1
1158,264,9,19,0.585917,1,-1,-1
741,40,6,13,0.566433,1,-1,-1
1118,290,9,15,0.519276,1,-1,-1
1088,501,12,25,0.502356,1,-1,-1
1061,477,10,23,0.483616,1,-1,-1
990,391,9,21,0.483584,1,-1,-1
1225,256,10,15,0.448451,1,-1,-1
1002,389,9,19,0.414889,1,-1,-1
759,114,7,15,0.387919,1,-1,-1
1131,520,13,22,0.385861,1,-1,-1
992,377,10,23,0.360778,1,-1,-1
1093,500,11,25,0.356317,1,-1,-1
845,178,8,22,0.293158,1,-1,-1
1003,378,8,23,0.291902,1,-1,-1
985,392,10,22,0.270248,1,-1,-1
584,393,8,20,0.236055,1,-1,-1
384,90,7,14,0.217738,1,-1,-1
744,41,7,12,0.159343,1,-1,-1
849,179,7,20,0.157682,1,-1,-1
414,115,8,13,0.136178,1,-1,-1
920,283,11,25,0.132895,1,-1,-1
1089,290,8,13,0.132633,1,-1,-1
417,115,8,14,0.129559,1,-1,-1
